advertir: avertir
cabello: cheveu
decir: dire
abrigo: manteau
acabar: finir/ mettre fin
altura: hauteur
angustia: angoisse
apto: compatible
calido: chaleureux
cantina: cantine
combate: combat
detener: arreter
facil: facile
increible: incroyable
alterado: altere
amplificar: amplifier
anillo: anneau
anteojos: lunettes/ paire de lunettes
arbol: arbre
avaro: avare
batalla: bataille
calmar: calmer
camino: chemin
camisa: chemise
castigar: chatier
cerdo: porc
cine: cinema
comodo: confortable
comprar: acheter
comprender: comprendre
defecto: defaut
demente: fou
destruir: detruire/ aneantir
dia: jour
dibujo: dessin
dicha: bonheur
famoso: celebre
formacion: formation
generoso: genereux
insolencia: insolence
maestro: maitre
parar: arreter
armonia: harmonie
bandera: drapeau
barato: peu couteux
basura: dechets
bebida: boisson
bobo: stupide
bonito: beau
cola: queue
colaborar: collaborer
computadora: ordinateur
constitucion: constitution
cuadro: tableau
ebrio: ivre
educar: eduquer
elevar: elever
fiel: fidele
flecha: fleche
flor: fleur
fotografia: photo
fragmento: fragment
gallina: poule
gigante: geant
gordo: gros/ jackpot
hoja: feuille
indispensable: indispensable
insulto: insulte
junta: conseil
lampara: lampe
mascota: mascotte
miedo: peur
momento: moment
pato: canard
querer: vouloir
tomar: prendre
boleto: billet
botella: bouteille
bueno: bon
crear: creer
cumbre: sommet
danza: danse
elegir: choisir
embrujar: ensorcele
enfurecer: rendre furieux
escrito: ecrit
garaje: garage
humildad: humilite
humo: fumee
identico: identique
jamas: jamais
labor: travail
lanzar: lancer
libro: livre
lucha: lutte
matar: tuer
misericordia: misericorde
mochila: sacs
noche: nuit
nombrar: nommer
orar: prier
partir: partir
paz: paix
pescado: poisson
plato: plat
razon: raison
reposo: repos
silla: chaise
vaso: verre
veloz: rapide
vereda: trottoir
entero: entier
escuchar: ecouter
estudiante: etudiant
expresar: exprimer
idioma: langue
importe: montant
norma: norme
pajaro: oiseau
paloma: pigeon
pan: pain
profundo: profond
sofa: canape
sumar: additionner
vestido: robe/ habille/ vetements
vivir: vivre
volver: revenir
zapato: chaussure
﻿abundante: abondant
mesa: table
